event-id,visible,timestamp,location-long,location-lat,external-temperature,ground-speed,heading,height-above-msl,gls:light-level,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
18396490946,TRUE,24:55.0,-84.7626816,45.7751232,17.3,0.3,0,203,74,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490947,TRUE,00:39.0,-84.76272,45.774944,16.1,0,0,189.4,1974,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490948,TRUE,00:55.0,-84.7626368,45.774944,22.7,0.1,0,195.7,2516,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490949,TRUE,00:08.0,-84.7628928,45.77488,35,0.7,131.7,182.5,14423,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490950,TRUE,00:31.0,-84.7626752,45.7749472,24.8,0,0,193.7,32,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490951,TRUE,01:32.0,-84.7627392,45.7749408,22.5,0.2,0,187.9,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490952,TRUE,00:31.0,-84.758848,45.7478016,22.7,13.2,157.2,294.3,527,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490953,TRUE,00:08.0,-84.6940608,45.6692544,25.6,0.3,0,220.5,15,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490954,TRUE,58:05.0,-84.694656,45.6405952,31.4,2.2,0,246.2,44,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490955,TRUE,00:01.0,-84.5906688,45.6223904,24.1,0.2,0,234.9,7,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490956,TRUE,00:09.0,-84.5894592,45.6235264,26.9,0.1,0,225.1,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490957,TRUE,59:18.0,-84.5893312,45.6233152,26.2,0.3,0,253,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490958,TRUE,58:31.0,-84.5889792,45.623408,21.7,0,0,245.6,2,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490959,TRUE,59:26.0,-84.5847488,45.6241216,22.7,0.1,0,226.2,20,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490960,TRUE,58:16.0,-84.5766016,45.6069056,26.7,0.3,0,247.7,458,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490961,TRUE,58:30.0,-84.5526656,45.3832288,29.8,0,0,216.7,142,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490962,TRUE,58:25.0,-84.5583424,45.3911616,23.6,0,0,209.1,6,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490963,TRUE,58:56.0,-84.5611648,45.3910912,24.1,0,0,220.5,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490964,TRUE,58:31.0,-84.5604224,45.3905344,18.3,0.1,0,231.5,13,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490965,TRUE,58:30.0,-84.5597824,45.390736,25.4,0,0,231,45,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490966,TRUE,58:25.0,-84.5526656,45.381184,30.1,0,0,225.5,32,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490967,TRUE,58:31.0,-84.5590144,45.390176,36.7,0,0,205.4,229,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490968,TRUE,58:25.0,-84.5567552,45.3872192,25.5,0.2,0,232,2,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490969,TRUE,58:31.0,-84.557632,45.3862112,30.8,0.3,0,225.9,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490970,TRUE,58:31.0,-84.5579392,45.386144,29.4,0.2,0,235.8,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490971,TRUE,59:19.0,-84.5577536,45.3861728,29.7,0,0,193.1,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490972,TRUE,58:24.0,-84.5594176,45.3914752,25.4,0.5,18.9,195.7,8,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490973,TRUE,58:51.0,-84.5538304,45.3922752,31.1,0,0,252,128,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490974,TRUE,58:25.0,-84.5552128,45.3944512,38.7,0,0,205.2,486,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490975,TRUE,58:49.0,-84.5573504,45.3884128,30.6,0.1,0,219.8,10,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490976,TRUE,58:26.0,-84.5483712,45.3874752,27,0.6,90.4,232.5,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490977,TRUE,59:57.0,-84.5484928,45.3884288,27.6,0.5,0,301.5,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490978,TRUE,59:23.0,-84.5478272,45.38792,27.8,0.3,0,228.3,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490979,TRUE,59:04.0,-84.5483776,45.3879296,28.7,0.9,0,193.9,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490980,TRUE,58:24.0,-84.5486464,45.387936,24.5,0,0,215,4,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490981,TRUE,58:54.0,-84.545248,45.3804448,25.9,0,0,195.2,22,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490982,TRUE,58:19.0,-84.543776,45.3874944,29.7,3.6,0,228.6,12,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490983,TRUE,58:24.0,-84.5368512,45.3834464,23.9,0,0,230.9,35,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490984,TRUE,58:30.0,-84.5485632,45.3815872,23.5,0,0,220.8,1,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490985,TRUE,59:44.0,-84.5482304,45.3830592,29,0.3,0,242.7,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490986,TRUE,58:49.0,-84.5481792,45.3829952,28.9,0.1,0,225.8,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490987,TRUE,58:30.0,-84.5481472,45.3829152,27.8,0.1,0,231.1,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490988,TRUE,58:25.0,-84.5526592,45.3812,19.6,0,0,231,783,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490989,TRUE,58:50.0,-84.5505472,45.3797984,28.4,6,178,369.9,416,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18396490990,TRUE,58:18.0,-84.7373824,45.7468384,25.9,0,0,220.2,124,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18403686350,TRUE,58:31.0,-84.7458944,45.757168,24.1,0.1,0,209.9,100,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18403686351,TRUE,59:01.0,-84.746976,45.751872,22.2,0.2,0,285.8,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18403686352,TRUE,58:49.0,-84.7470848,45.7520896,28.9,0.1,0,196,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18403686353,TRUE,59:03.0,-84.7473472,45.752032,28.8,0.1,0,251,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18403686354,TRUE,58:39.0,-84.7472512,45.7519072,29.9,0,0,207.3,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18403686355,TRUE,58:31.0,-84.7430208,45.7457728,21.9,0,0,220.9,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18403686356,TRUE,58:30.0,-84.7418624,45.7174688,23,0,0,212.6,18,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18403686357,TRUE,58:25.0,-84.747712,45.7095296,18.2,0,0,215.7,31,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18413194122,TRUE,58:49.0,-84.7421504,45.7022432,24.1,0,0,211.8,109,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18413194123,TRUE,58:49.0,-84.7334656,45.6971744,22.1,0.1,0,251.2,3,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18413194124,TRUE,59:22.0,-84.732832,45.6975008,29.1,0,0,276.5,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18413194125,TRUE,58:58.0,-84.7328896,45.6975104,28,0.4,0,236.2,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18413194126,TRUE,59:30.0,-84.7328192,45.697456,28.8,0.2,0,221.9,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18413194127,TRUE,58:27.0,-84.7314624,45.6954336,22.1,0,0,304.8,10,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18413194128,TRUE,58:56.0,-84.7296576,45.694912,24.8,0,0,226.1,5,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18413194129,TRUE,58:31.0,-84.8003776,45.6117216,20.9,0.1,0,248,17,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18435417230,TRUE,59:19.0,-84.7532608,45.553024,22,0.2,0,219.8,60,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18435417231,TRUE,58:31.0,-84.751168,45.5521312,21.1,0.1,0,209,9,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18435417232,TRUE,59:35.0,-84.7518528,45.5517472,29.2,0,0,250.3,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18435417233,TRUE,58:54.0,-84.7515392,45.5516896,21.3,0,0,226.1,18,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18435417234,TRUE,58:24.0,-84.7185728,45.4759232,20.5,0,0,147,59,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18435417235,TRUE,58:31.0,-84.5465088,45.396192,30,0.2,0,235.9,12,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18443072793,TRUE,59:07.0,-84.5441536,45.395856,21.4,0,0,215.1,20,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18443072794,TRUE,58:27.0,-84.5505344,45.39976,21.8,0.3,0,208.2,9,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18443072795,TRUE,59:18.0,-84.5500544,45.398912,28.8,0.1,0,243.6,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18443072796,TRUE,59:01.0,-84.549792,45.3988832,27.3,0.1,0,239.7,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18443072797,TRUE,58:26.0,-84.550272,45.3987936,20.5,0,0,200.9,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18443072798,TRUE,58:31.0,-84.5511296,45.3992384,19.7,0,0,182.9,8,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18466786942,TRUE,58:51.0,-84.5498752,45.3996128,22.9,0.1,0,223.8,22,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18466786943,TRUE,58:25.0,-84.5494912,45.399808,20.5,0,0,217.3,1,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
